ticker,Date,Open,High,Low,Close,Adj Close,volume 
SP500TR,2021-03-26,8121.33,8246.90,8121.33,8240.38,8240.38,0.00
SP500TR,2021-03-25,8042.96,8125.98,7990.02,8105.51,8105.51,0.00
SP500TR,2021-03-24,8126.82,8172.74,8062.95,8063.00,8063.00,0.00
SP500TR,2021-03-23,8162.98,8186.75,8088.51,8106.83,8106.83,0.00
SP500TR,2021-03-22,8119.17,8199.50,8114.38,8169.14,8169.14,0.00
SP500TR,2021-03-19,8112.22,8147.38,8057.74,8112.13,8112.13,0.00
SP500TR,2021-03-18,8195.02,8228.18,8106.64,8116.17,8116.17,0.00
SP500TR,2021-03-17,8186.47,8257.23,8158.06,8237.35,8237.35,0.00
SP500TR,2021-03-16,8236.19,8251.49,8194.41,8213.63,8213.63,0.00
SP500TR,2021-03-15,8172.49,8228.38,8132.22,8226.32,8226.32,0.00
SP500TR,2021-03-12,8133.90,8176.01,8114.76,8172.90,8172.90,0.00
SP500TR,2021-03-11,8113.28,8205.85,8113.28,8162.58,8162.58,0.00
SP500TR,2021-03-10,8063.94,8116.45,8051.18,8078.05,8078.05,0.00
SP500TR,2021-03-09,7980.49,8087.84,7980.49,8029.20,8029.20,0.00
SP500TR,2021-03-08,7964.14,8040.07,7912.34,7916.41,7916.41,0.00
SP500TR,2021-03-05,7858.80,7979.17,7727.67,7958.98,7958.98,0.00
SP500TR,2021-03-04,7910.12,7961.43,7712.97,7806.45,7806.45,0.00
SP500TR,2021-03-03,8002.90,8024.06,7909.86,7911.21,7911.21,0.00
SP500TR,2021-03-02,8084.60,8090.06,8012.84,8015.54,8015.54,0.00
SP500TR,2021-03-01,7957.96,8107.01,7957.96,8080.78,8080.78,0.00
SP500TR,2021-02-26,7951.84,7995.85,7848.05,7892.81,7892.81,0.00
SP500TR,2021-02-25,8108.58,8127.41,7897.98,7929.56,7929.56,0.00
SP500TR,2021-02-24,8020.30,8134.03,7991.14,8127.38,8127.38,0.00
SP500TR,2021-02-23,7985.76,8066.25,7879.38,8036.06,8036.06,0.00
SP500TR,2021-02-22,8044.55,8080.47,8022.63,8025.81,8025.81,0.00
SP500TR,2021-02-19,8117.60,8136.75,8081.47,8087.68,8087.68,0.00
SP500TR,2021-02-18,8106.15,8118.78,8042.50,8102.24,8102.24,0.00
SP500TR,2021-02-17,8111.32,8142.49,8074.51,8137.88,8137.88,0.00
SP500TR,2021-02-16,8153.69,8175.83,8121.47,8139.16,8139.16,0.00
SP500TR,2021-02-12,8094.81,8147.26,8083.61,8142.79,8142.79,0.00
SP500TR,2021-02-11,8104.25,8124.00,8050.71,8104.19,8104.19,0.00
SP500TR,2021-02-10,8111.66,8133.31,8037.52,8089.11,8089.11,0.00
SP500TR,2021-02-09,8090.18,8106.25,8074.04,8091.70,8091.70,0.00
SP500TR,2021-02-08,8051.75,8099.41,8051.75,8099.33,8099.33,0.00
SP500TR,2021-02-05,8022.02,8055.57,8015.14,8039.67,8039.67,0.00
SP500TR,2021-02-04,7935.06,8008.41,7935.06,8007.62,8007.62,0.00
SP500TR,2021-02-03,7941.73,7956.68,7893.06,7920.85,7920.85,0.00
SP500TR,2021-02-02,7841.58,7947.56,7841.58,7912.87,7912.87,0.00
SP500TR,2021-02-01,7716.04,7825.95,7704.89,7804.31,7804.31,0.00
SP500TR,2021-01-29,7812.94,7812.94,7639.40,7681.01,7681.01,0.00
SP500TR,2021-01-28,7765.84,7920.18,7765.84,7831.22,7831.22,0.00
SP500TR,2021-01-27,7932.67,7932.67,7717.66,7754.74,7754.74,0.00
SP500TR,2021-01-26,7986.68,8001.99,7955.36,7959.10,7959.10,0.00
SP500TR,2021-01-25,7963.33,7978.91,7850.60,7970.92,7970.92,0.00
SP500TR,2021-01-22,7947.95,7964.63,7919.75,7942.20,7942.20,0.00
SP500TR,2021-01-21,7975.19,7983.28,7949.70,7966.11,7966.11,0.00
SP500TR,2021-01-20,7889.27,7979.26,7889.27,7962.92,7962.92,0.00
SP500TR,2021-01-19,7818.26,7864.88,7815.26,7853.47,7853.47,0.00
SP500TR,2021-01-15,7832.13,7832.13,7751.66,7789.79,7789.79,0.00
SP500TR,2021-01-14,7886.27,7903.98,7840.56,7846.10,7846.10,0.00
SP500TR,2021-01-13,7859.01,7897.71,7837.12,7874.75,7874.75,0.00
SP500TR,2021-01-12,7857.60,7876.47,7806.15,7856.72,7856.72,0.00
SP500TR,2021-01-11,7860.76,7891.07,7831.67,7853.45,7853.45,0.00
SP500TR,2021-01-08,7885.36,7909.32,7820.38,7905.28,7905.28,0.00
SP500TR,2021-01-07,7780.35,7876.67,7780.35,7861.10,7861.10,0.00
SP500TR,2021-01-06,7744.43,7744.43,7744.43,7744.43,7744.43,0.00
SP500TR,2021-01-05,7640.77,7722.69,7635.64,7700.34,7700.34,0.00
SP500TR,2021-01-04,7777.41,7788.35,7567.08,7645.27,7645.27,0.00